id,dataset,question,ground_truth_answer,ground_truth_explanation,gemini_model,gemini_parsed_answer,gemini_raw_response,gemini_outcome
1a609bd8-639f-4895-a5f5-80bbb896e2f6,medmcqa,Magistrate inquest not needed in: JIPMER 14,A,Ans. Homicide,models/gemini-2.0-flash,A,A,Correct
2d3da5b6-6af9-49c5-9439-17fbc983657d,medmcqa,"Which of the following disease with bird, ahropod and human chain",B,"Agent factors :- * Caused by group B arbovirus (flavivirus) * The main reservoirs are Ardeid birds and pigs * Pigs are amplifiers of the virus and they do not manifest ove symptoms but circulates the virus Host factors :- * Most common in the age group of <15 years of age * Man - incidental dead end host * Affects other animals also and horse is the only animal which does not shows symptoms of encephalitis Vector:- * Transmitted by culex tritaeniorrhynchus - most impoant vector, others are C.Vishnuii and c. Gelidus * Incubation period is 5-15 days * Case fatality rate - 20-40% Ref:- K Park, 24th ed; pg num:- 302-303",models/gemini-2.0-flash,B,B,Correct
91cfdd64-e451-462f-b6a2-c5b338415892,medmcqa,Potter syndrome is not assoiated with,A,"Since there is b/l kidney agenesis or cystic disease there is no urine production
leading to oligohydromnios",models/gemini-2.0-flash,D,D,Incorrect
f1f94f1c-3d9d-4b68-9c3d-b6757a8a4fcd,medmcqa,Increase in pauwel's angle indicate,C,"Pauwel's classification - depending on angle (Pauwel's angle) formed by the line with the horizontal. More the Pauwell's angle, more unstable is the fracture with poorer prognosis Type I : <30deg Type II : 30-50deg Type III: >50deg(worst prognosis)",models/gemini-2.0-flash,C,C,Correct
e08402ae-00b1-4649-872f-dfa4df0f6eb2,medmcqa,"A 28 year old female teacher is found to have a prolonged bleeding time and normal platelet count. She had a bleeding of ""easy bleeding"" with frequent bleeding of the gums, epistaxis, cutaneous bleeding and menorrhagia, further testing revealed a deficiency of Von willebrand factor. Which of the following thrombogenic processes involving platelets is most directly impaired?",A,"Disruption of the endothelium exposes subendothelial Von willebrand factor (VWF) and collagen, which promotes platelet adherence and activation.
Deficiency of Von willebrand factor (VWF) causes


↓ Platelet adhesion (↑ BT)


↓ Intrinsic pathway activity (↑ aPTT)",models/gemini-2.0-flash,A,A,Correct
0d4f79ee-cc91-4c9a-902d-020973012371,medmcqa,"Ifa Panchayat is dissolved, elections are to be held within?",C,"Ans. is 'c' i.e., 6 months",models/gemini-2.0-flash,C,C,Correct
7a9a95de-c499-4203-bee7-fc1f9bf3abd1,medmcqa,Stomach is derived from ?,A,Foregut,models/gemini-2.0-flash,A,A,Correct
053c4aff-1541-4fbd-8f3c-32fa0921e82a,medmcqa,Which of the following is the main enzyme responsible for activation of xenobiotics?,A,"Xenobiotics are compounds which may be accidently ingested or taken as drugs or compounds produced in the body by bacterial metabolism. The cytochrome P-450 enzyme family is involved in the biotransformation reaction of xenobiotics. They are heme containing membrane proteins localized in the smooth endoplasmic reticulum of liver. They are so named because they absorb light at wavelength of 450nm, when exposed to carbon monoxide. Ref: Vasudevan Biochemistry, 3rd Edition, Pages 310-2",models/gemini-2.0-flash,A,A,Correct
fabc62e9-fb0e-472f-b241-0c4bcf67fb58,medmcqa,In Familial hypercholesterolemia there is deficiency of,A,"LDL receptors 

Familial hypercholesterolemia (type IIa) is due to deficiency of functional LDL receptors as a result of different types of mutations.",models/gemini-2.0-flash,A,A,Correct
9e679825-10cc-4de3-8119-2c4bf95f52f0,medmcqa,"Botulinum affects all of the following, EXCEPT:",D,"Diplopia, dysphagia, dysahria, dry mouth, vomiting, thirst, constipation are the clinical features associated with botulinum toxin. Patients experience minimal or no CNS effects and usually there's no significant alteration in their mental status. Ingested, inhaled or formed botulinum toxin travels through the vascular system and affects neuromuscular junction, pre ganglionic junction and post ganglionic nerves. Ref: Textbook of Microbiology, Ananthanarayan and Paniker, 7th Edition, Chapter 28, Page 263 & 264 ; Harrisons Principles of Internal Medicine, 16th Edition, Page 843.",models/gemini-2.0-flash,D,D,Correct
0ba825fe-e43e-4ae9-80a9-9072015050a5,medmcqa,Which of the following is a poor prognostic factor for childhood ALL.,C,"Answer is C (Testicular involvement) Testicular involvement / enlargement is a typical poor prognostic factor for childhood ALL Age < 2 years versus Testicular Involvement Typically Age < 1 year is considered a poor prognostic factor Although Age < 2 year has been mentioned as a poor prognostic factor in ceain textbooks including Hoffman's Hematology (4th/1158) most textbooks use the criteria of Age < 1 year to define a poor prognostic factor Since testicular involvement provided amongst the option is an established poor prognostic factor, this is selected as the single best answer of choice.",models/gemini-2.0-flash,B,B,Incorrect
1fb6c54f-550d-4cbc-8589-2d74176aa032,medmcqa,Relining of complete denture is not indicated when,C,,models/gemini-2.0-flash,A,A,Incorrect
eeb3a5e2-a7c2-47da-9432-d862656581e7,medmcqa,Which of the following condition is necessary prerequisite for this change?,C,"Ans. (C). Adequate liquor amniiThe photograph shows maceration, a sign of intrauterine death.Conditions favoring maceration: Intact membranes; adequate liquor amnii & NO air.",models/gemini-2.0-flash,C,C,Correct
db812c4b-e8f1-46dc-9427-762cf351a82e,medmcqa,Savita is 32 weeks pregnant presents in causality and diagnosed as a case of APH. Vitals are unstable with BP 80/60 which of the following is next step in M/n,B,Ans. is b i.e. Blood transfusion,models/gemini-2.0-flash,B,B,Correct
02822b49-7e2e-4242-be13-00ea86d52dac,medmcqa,"All are true about Cancer breast, except:",D,Ans. (d) Increased incidence with prolonged breast feeding* Paget's Disease is a superficial manifest of an underlying Intra ductal carcinoma breast,models/gemini-2.0-flash,D,D,Correct
